@relation predic
@attribute len real
@attribute nonsynvar real
@attribute synvar real
@attribute issuespe {1, 0}
@attribute expr real
@attribute reptime real
@attribute hi real
@attribute rec real
@attribute constaint_score real
@attribute Genic_score real
@attribute tr_count_all real
@attribute GC_content real
@attribute tr_coding_only_length real
@attribute Non_Conding_tr_count real
@attribute case {no,yes}
@data
1.596,14.0,15.0,0,1.29425,885.0,0.41435,0.34232,2.293232859,0.4409995479,3,39.27,63934.333333333336,0,yes
4.65,50.0,40.0,0,12.77832,210.0,0.99194,0.99087,3.477092241,-1.7858926326,13,58.47,9623.5,11,yes
0.406,0.0,0.0,0,21.29732,206.0,0.14911,0.34337,1.941344994,0.000001,1,61.09,1393.0,0,yes
9.064,124.0,74.0,1,2.2675,605.0,0.65403,0.22936,1.574155793,-1.8677762617,7,37.12,199631.4,2,yes
8.941,88.0,64.0,0,3.99245,304.0,0.8338,0.11376,4.012251162,-2.8139710747,8,38.92,121138.5,6,yes
2.564,54.0,24.0,1,10.47492,240.0,0.000001,0.000001,-0.47682269,-0.0826505704,33,54.95,35194.2,13,yes
2.078,35.0,27.0,0,12.36941,179.0,0.15044,0.76645,0.429719905,-0.3949364374,5,53.19,39682.5,3,yes
2.762,44.0,9.0,0,1.00687,528.0,0.16576,0.10805,-0.287354707,-0.2185654301,2,37.39,396377.0,1,yes
2.423,32.0,19.0,0,3.19744,438.0,0.05216,0.23851,0.410553933,0.6485176373,7,42.13,64932.57142857143,0,yes
11.935,79.0,121.0,0,10.40178,470.0,0.90101,0.52705,7.75311706,-6.1417245083,6,46.21,105337.8,1,yes
3.958,70.0,64.0,0,2.17457,451.0,0.74559,0.34638,1.856415078,-0.6009058645,16,46.99,104830.66666666667,13,yes
3.806,28.0,29.0,0,0.7768,715.0,0.12302,0.14602,3.217912511,-0.9074725832,14,39.14,258730.1,4,yes
1.594,15.0,16.0,1,3.37567,514.0,0.85887,0.31462,2.22113068,-0.7788253275,3,47.64,39292.0,2,yes
2.633,0.0,0.0,0,0.8707,1135.0,0.000001,0.000001,-2.468273562,-0.3472083861,9,36.79,156280.6,4,yes
1.367,32.0,11.0,1,13.99774,343.0,0.11534,0.09201,-0.141999343,0.3105402642,5,50.39,8354.0,2,yes
2.182,41.0,24.0,0,7.11691,350.0,0.07015,0.0889,0.436346981,0.3178212089,2,49.37,10619.0,0,yes
0.937,12.0,3.0,1,2.25405,357.0,0.03037,0.06846,2.828520368,0.7257944159,17,41.19,13954.0,5,yes
0.961,0.0,4.0,1,5.52601,256.0,0.000001,0.000001,2.272461674,0.000001,6,67.44,2506.0,1,yes
3.447,36.0,12.0,0,0.82911,459.0,0.28234,0.10767,2.248885739,-0.883608246,20,37.05,56176.5,16,yes
